account,entry_collect,entry_fees,entry_pl,entry_price,entry_shares,entry_side,entry_time,exit_collect,exit_fees,exit_price,exit_shares,exit_side,exit_time,matched_shares,mtm_pl,symbol
umacrcatpairstrading,,0.0,-400.0001,5.4000001,1000.0,1.0,2025-05-13 15:59:00.000,,3.7,5.0,-1000.0,-1.0,2025-05-30 15:59:00.006,1000.0,30.0,UMAC
umacrcatpairstrading,,0.0,500.04020835,6.34000015,-1389.0,-1.0,2025-05-13 15:59:00.000,,5.1393,5.98,1389.0,1.0,2025-05-30 15:59:00.006,-1389.0,13.89,RCAT
umacrcatpairstrading,,0.0,-179.99999,1.63999999,1000.0,1.0,2024-09-23 15:59:00.000,,3.7,1.46,-1000.0,-1.0,2024-09-25 15:59:00.006,1000.0,-80.0,UMAC
umacrcatpairstrading,,0.0,1138.98011112,3.17000008,-1389.0,-1.0,2024-09-23 15:59:00.000,,5.1393,2.35,1389.0,1.0,2024-09-25 15:59:00.006,-1389.0,333.36,RCAT
umacrcatpairstrading,,0.0,390.00011,7.38000011,-1000.0,-1.0,2025-03-18 15:59:00.000,,3.7,6.99,1000.0,1.0,2025-03-26 15:59:00.006,-1000.0,240.0,UMAC
umacrcatpairstrading,,0.0,902.8498611,5.1500001,1389.0,1.0,2025-03-18 15:59:00.000,,5.1393,5.8,-1389.0,-1.0,2025-03-26 15:59:00.006,1389.0,-500.04,RCAT
umacrcatpairstrading,,0.0,510.00004,1.16999996,1000.0,1.0,2024-07-03 12:59:00.000,,3.7,1.68,-1000.0,-1.0,2024-08-05 15:59:00.006,1000.0,-140.0,UMAC
umacrcatpairstrading,,0.0,-1125.09005556,1.16999996,-1389.0,-1.0,2024-07-03 12:59:00.000,,5.1393,1.98,1389.0,1.0,2024-08-05 15:59:00.006,-1389.0,-41.67,RCAT
umacrcatpairstrading,,0.0,680.00027,8.97000027,-1000.0,-1.0,2025-06-10 15:59:00.000,,3.7,8.29,1000.0,1.0,2025-06-12 15:59:00.006,-1000.0,-310.0,UMAC
umacrcatpairstrading,,0.0,236.13043059,8.56999969,1389.0,1.0,2025-06-10 15:59:00.000,,5.1393,8.74,-1389.0,-1.0,2025-06-12 15:59:00.006,1389.0,430.59,RCAT
umacrcatpairstrading,,0.0,-120.00004,1.41999996,-1000.0,-1.0,2024-09-26 15:59:00.000,,3.7,1.54,1000.0,1.0,2024-10-02 15:59:00.006,-1000.0,-10.0,UMAC
umacrcatpairstrading,,0.0,1111.19990277,2.43000007,1389.0,1.0,2024-09-26 15:59:00.000,,5.1393,3.23,-1389.0,-1.0,2024-10-02 15:59:00.006,1389.0,402.81,RCAT
